year,ticker,grossprofit,netincome,revenue
2019,BK,15672,4441,20007
2019,MU,16042,6313,23406
2019,V,16057,12080,22977
2019,AVGO,16461,2724,22597
2019,CHTR,16540,1668,45764
2019,MMM,16993,4570,32136
2019,PNC,17054,5369,21624
2018,NKE,18179,4029,39117
2018,FDX,18180,540,69693
2019,PRU,18539,4186,64845
2019,LLY,18723.4,8318.4,22319.5
2019,CAT,19056,6093,53800
2019,GILD,19178,5386,22449
2019,BMY,19475,3439,26145
2019,ABT,19955,3687,31904
2019,PM,20190,7185,29805
2019,AMGN,21041,7842,23362
2019,ANTM,21110,4807,104213
2019,COST,21309,3659,152703
2019,USB,21379,6914,27325
2018,TGT,22307,2937,75356
2018,MDT,22395,4631,30557
2018,LOW,22913,2314,71309
2019,KO,23993,8920,37266
2019,RTX,24177,5537,77046
2019,MS,24463,9042,53823
2019,CI,25880,5104,153699
2019,GS,26095,8466,53922
2018,KR,26268,3110,121162
2019,TMUS,26477,3468,44998
2019,GM,27207,6732,137237
2019,DIS,27552,11054,69570
2019,ABBV,27869,7882,33266
2019,GE,27886,-4979,95214
2019,F,28065,47,155900
2019,WBA,32222,3982,136866
2018,ORCL,32741,11083,39506
2019,CVX,34231,2924,139865
2019,CMCSA,34258,13057,108942
2019,CSCO,34295,11621,51904
2019,PG,36261,3897,67684
2019,MRK,37165,9843,46840
2018,HD,37366,11121,108203
2019,PEP,39610,7314,67161
2019,IBM,42404,9431,77147
2019,PFE,43021,16273,51750
2019,C,44336,19401,103449
2019,XOM,44431,14340,255583
2019,CVS,47463,6634,256776
2019,INTC,52766,21048,71965
2019,UNH,57598,13839,242155
2019,JNJ,61663,15119,82059
2019,FB,63669,18485,70697
2019,VZ,77142,19265,131868
2019,WFC,80914,19549,102453
2019,BAC,87654,27430,113589
2019,MSFT,94533,39240,125843
2019,T,97124,13903,181265
2019,GOOGL,101612,34343,161857
2019,JPM,110042,36431,142422
2019,AAPL,110939,55256,260174
2019,BRK.B,115545,81417,327223
2019,AMZN,130086,11588,280522
2018,WMT,137106,6670,511729
