"year","iso_a3","currency_code","name","local_price","dollar_ex","dollar_price","gdp_dollar"
2017,"ARE","AED","UAE",13.5,3.673,3.6754696435,NA
2017,"ARG","ARS","Argentina",62.5,16.4125,3.7969622305,13045.834
2017,"AUS","AUD","Australia",5.85,1.329842253,4.401567501,51406.067
2017,"BRA","BRL","Brazil",16.5,3.229125,5.1097564755,8698.4495
2017,"CAN","CAD","Canada",5.975,1.30415,4.5827503585,42771.0465
2017,"CHE","CHF","Switzerland",6.5,0.993875,6.5459131715,80675.308
2017,"CHL","CLP","Chile",2500,668.08,3.7427833495,13458.4505
2017,"CHN","CNY","China",19.7,6.85705,2.8733990975,8051.4885
2017,"COL","COP","Colombia",9900,3023.3925,3.2747638205,5937.846
2017,"CRI","CRC","Costa Rica",2270,563.4125,4.029494494,NA
2017,"CZE","CZK","Czech Republic",75,24.333925,3.0935265735,17771.6255
2017,"DNK","DKK","Denmark",30,6.8069,4.4155494445,52929.0655
2017,"EGY","EGP","Egypt",29.43,18.3275,1.6092774545,3712.4115
2017,"EUZ","EUR","Euro area",3.895,0.9154708875,4.263401251,34604.196395
2017,"GBR","GBP","Britain",3.14,0.8023302745,3.919912752,43770.688
2017,"HKG","HKD","Hong Kong",19.2,7.783725,2.466716704,42958.812
2017,"HUN","HUF","Hungary",881,281.62055,3.131879496,12509.091
2017,"IDN","IDR","Indonesia",31563,13349.25,2.364343959,3483.324
2017,"IND","INR","India",174,66.4425,2.6226245975,1670.305
2017,"ISR","ILS","Israel",16.9,3.69775,4.578627045,36302.868
2017,"JPN","JPY","Japan",380,114.8625,3.30911831,35701.4155
