"year","state","avg_house_price"
2004,"WI",119835.07084
2005,"WI",127393.95183
2006,"WI",133776.20945
2007,"WI",134355.09483
2008,"WI",132440.3118
2009,"WI",125329.36477
2010,"WI",122953.35332
2011,"WI",117263.84978
2012,"WI",111984.52659
2013,"WI",112279.48128
2014,"WI",118287.76309
2015,"WI",121584.61242
2016,"WI",127208.63605
2017,"WI",134138.91316
2018,"WI",141752.49083
1975,"WV",40650.660299
1976,"WV",48219.895174
1977,"WV",48774.693365
1978,"WV",53479.160123
1979,"WV",59513.316927
1980,"WV",62318.783607
1981,"WV",67201.165384
1982,"WV",60729.513214
1983,"WV",57055.803993
1984,"WV",67149.114506
1985,"WV",62042.760351
1986,"WV",61493.363545
1987,"WV",64777.264442
1988,"WV",66741.479599
1989,"WV",66246.419399
1990,"WV",69751.620934
1991,"WV",71310.344615
1992,"WV",74768.924401
1993,"WV",78820.725174
1994,"WV",81194.66363
1995,"WV",86185.777167
1996,"WV",88753.89649
1997,"WV",90164.517029
1998,"WV",92763.293474
1999,"WV",95761.553794
2000,"WV",98756.121028
2001,"WV",100260.35034
2002,"WV",102360.10806
2003,"WV",107362.31723
2004,"WV",112284.44195
2005,"WV",119622.45632
2006,"WV",129379.85078
2007,"WV",133331.89268
2008,"WV",133674.57592
2009,"WV",131531.36804
2010,"WV",129746.87824
2011,"WV",129058.41434
2012,"WV",128958.20029
2013,"WV",132416.1184
2014,"WV",136995.80828
2015,"WV",139942.8938
2016,"WV",140873.50945
2017,"WV",144904.13524
2018,"WV",147889.24209
1975,"WY",31386.310608
1976,"WY",35808.542527
1977,"WY",41106.021777
1978,"WY",47407.656322
1979,"WY",54362.696796
1980,"WY",62669.508285
1981,"WY",63513.349082
1982,"WY",68080.574895
1983,"WY",66953.439408
1984,"WY",64354.820293
1985,"WY",62156.722879
1986,"WY",61499.410763
1987,"WY",57886.090922
1988,"WY",50862.119258
1989,"WY",51858.202498
1990,"WY",55351.905911
1991,"WY",59048.149596
1992,"WY",63631.254408
1993,"WY",67203.850741
1994,"WY",73393.650654
1995,"WY",79775.857544
1996,"WY",85275.113803
1997,"WY",86670.686415
1998,"WY",89422.138054
1999,"WY",91381.333532
2000,"WY",96098.036342
2001,"WY",99993.652944
2002,"WY",107223.19299
2003,"WY",113878.44872
2004,"WY",123434.58877
2005,"WY",136948.75637
2006,"WY",153610.72242
2007,"WY",170611.46156
2008,"WY",175897.36307
2009,"WY",169974.99648
2010,"WY",166880.20685
2011,"WY",161890.82127
2012,"WY",161583.77017
2013,"WY",166374.43478
2014,"WY",173891.29784
2015,"WY",180943.09151
2016,"WY",183834.9041
2017,"WY",185945.90134
2018,"WY",193129.01343
